,SP500,Date,Returns
203,2579.36,2017-11-01,4.099999999999909
204,2579.85,2017-11-02,0.4899999999997817
205,2587.84,2017-11-03,7.9900000000002365
206,2591.13,2017-11-06,3.2899999999999636
207,2590.64,2017-11-07,-0.49000000000023647
208,2594.38,2017-11-08,3.7400000000002365
209,2584.62,2017-11-09,-9.760000000000218
210,2582.3,2017-11-10,-2.319999999999709
211,2584.84,2017-11-13,2.5399999999999636
212,2578.87,2017-11-14,-5.970000000000255
213,2564.62,2017-11-15,-14.25
214,2585.64,2017-11-16,21.019999999999982
215,2578.85,2017-11-17,-6.789999999999964
216,2582.14,2017-11-20,3.2899999999999636
217,2599.03,2017-11-21,16.890000000000327
218,2597.08,2017-11-22,-1.9500000000002728
220,2602.42,2017-11-24,5.3400000000001455
221,2601.42,2017-11-27,-1.0
222,2627.04,2017-11-28,25.61999999999989
223,2626.07,2017-11-29,-0.9699999999997999
224,2647.58,2017-11-30,21.509999999999764
225,2642.22,2017-12-01,-5.360000000000127
226,2639.44,2017-12-04,-2.7799999999997453
227,2629.57,2017-12-05,-9.86999999999989
228,2629.27,2017-12-06,-0.3000000000001819
229,2636.98,2017-12-07,7.710000000000036
230,2651.5,2017-12-08,14.519999999999982
231,2659.99,2017-12-11,8.489999999999782
232,2664.11,2017-12-12,4.120000000000346
233,2662.85,2017-12-13,-1.2600000000002183
234,2652.01,2017-12-14,-10.83999999999969
235,2675.81,2017-12-15,23.799999999999727
236,2690.16,2017-12-18,14.349999999999909
237,2681.47,2017-12-19,-8.690000000000055
238,2679.25,2017-12-20,-2.2199999999998
239,2684.57,2017-12-21,5.320000000000164
240,2683.34,2017-12-22,-1.2300000000000182
242,2680.5,2017-12-26,-2.8400000000001455
243,2682.62,2017-12-27,2.119999999999891
244,2687.54,2017-12-28,4.920000000000073
245,2673.61,2017-12-29,-13.929999999999836
247,2695.81,2018-01-02,22.199999999999818
248,2713.06,2018-01-03,17.25
249,2723.99,2018-01-04,10.929999999999836
250,2743.15,2018-01-05,19.16000000000031
251,2747.71,2018-01-08,4.559999999999945
252,2751.29,2018-01-09,3.5799999999999272
253,2748.23,2018-01-10,-3.0599999999999454
254,2767.56,2018-01-11,19.329999999999927
255,2786.24,2018-01-12,18.679999999999836
257,2776.42,2018-01-16,-9.819999999999709
258,2802.56,2018-01-17,26.139999999999873
259,2798.03,2018-01-18,-4.529999999999745
260,2810.3,2018-01-19,12.269999999999982
261,2832.97,2018-01-22,22.669999999999618
262,2839.13,2018-01-23,6.160000000000309
263,2837.54,2018-01-24,-1.5900000000001455
264,2839.25,2018-01-25,1.7100000000000364
265,2872.87,2018-01-26,33.61999999999989
266,2853.53,2018-01-29,-19.33999999999969
267,2822.43,2018-01-30,-31.100000000000364
268,2823.81,2018-01-31,1.3800000000001091
269,2821.98,2018-02-01,-1.8299999999999272
270,2762.13,2018-02-02,-59.84999999999991
271,2648.94,2018-02-05,-113.19000000000005
272,2695.14,2018-02-06,46.19999999999982
273,2681.66,2018-02-07,-13.480000000000018
274,2581.0,2018-02-08,-100.65999999999985
275,2619.55,2018-02-09,38.55000000000018
276,2656.0,2018-02-12,36.44999999999982
277,2662.94,2018-02-13,6.940000000000055
278,2698.63,2018-02-14,35.690000000000055
279,2731.2,2018-02-15,32.56999999999971
280,2732.22,2018-02-16,1.0199999999999818
282,2716.26,2018-02-20,-15.959999999999582
283,2701.33,2018-02-21,-14.930000000000291
284,2703.96,2018-02-22,2.630000000000109
285,2747.3,2018-02-23,43.340000000000146
286,2779.6,2018-02-26,32.29999999999973
287,2744.28,2018-02-27,-35.31999999999971
288,2713.83,2018-02-28,-30.450000000000273
289,2677.67,2018-03-01,-36.159999999999854
290,2691.25,2018-03-02,13.579999999999927
291,2720.94,2018-03-05,29.690000000000055
292,2728.12,2018-03-06,7.179999999999836
293,2726.8,2018-03-07,-1.319999999999709
294,2738.97,2018-03-08,12.169999999999618
295,2786.57,2018-03-09,47.600000000000364
296,2783.02,2018-03-12,-3.550000000000182
297,2765.31,2018-03-13,-17.710000000000036
298,2749.48,2018-03-14,-15.829999999999927
